Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",28.900000,-56.700000,0.000000,top
"C2","100nF","C_0402_1005Metric",29.000000,-58.100000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",23.200000,-58.600000,90.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.000000,-43.300000,90.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",48.100000,-59.700000,90.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",27.400000,-29.200000,90.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",60.500000,-47.200000,90.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",40.400000,-20.900000,90.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",48.100000,-34.700000,90.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",55.800000,-20.900000,90.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",35.600000,-47.100000,90.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",68.800000,-29.300000,90.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",75.300000,-43.300000,90.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",73.100000,-58.600000,90.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",33.515000,-60.500000,-90.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",42.625000,-60.900000,-90.000000,top
"R1","33","R_0603_1608Metric",31.400000,-56.600000,90.000000,top
"R2","33","R_0603_1608Metric",39.300000,-58.100000,0.000000,top
