Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",46.485000,-65.200000,0.000000,top
"C2","100nF","C_0402_1005Metric",46.585000,-66.600000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",31.600000,-45.900000,90.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.700000,-34.900000,90.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",46.900000,-28.300000,90.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",59.100000,-28.300000,90.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",69.200000,-34.800000,90.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.200000,-45.800000,90.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.600000,-67.000000,90.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.000000,-48.900000,90.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.300000,-67.000000,90.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",51.100000,-69.000000,-90.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",59.900000,-69.000000,-90.000000,top
"R1","33","R_0603_1608Metric",48.985000,-65.100000,90.000000,top
"R2","33","R_0603_1608Metric",56.575000,-66.200000,0.000000,top
