Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,43.700000,-43.600000,-90.000000,top
C2,100nF,C_0402_1005Metric,42.300000,-43.700000,-90.000000,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,41.030000,-36.600000,90.000000,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,41.040000,-54.980000,90.000000,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,59.430000,-54.960000,90.000000,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,59.420000,-36.570000,90.000000,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,39.900000,-48.215000,180.000000,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,60.300000,-48.325000,180.000000,top
R1,33,R_0603_1608Metric,43.800000,-46.100000,0.000000,top
R2,33,R_0603_1608Metric,57.500000,-45.025000,-90.000000,top
